Gene,Avg_TPM_Without_Neo,Avg_TPM_With_Neo,Ratio_Without_With,Log2_Ratio,,,,,,,,,,
SERPINA1,3.093103448,0.1,0.032329989,-4.950983136,-1.490394445,-1.350328795,-1.089004157,-0.747274684,,,,,,
COL19A1,6.140909091,0.2,0.032568468,-4.940380297,-1.487202673,-1.347631128,-1.082685659,-0.746893557,,,,,,
GLYATL3,16.78846154,0.55,0.032760596,-4.931894558,-1.484648211,-1.343244431,-1.075817213,-0.743389144,,,,,,
MYEOV,3.046875,0.1,0.032820513,-4.929258365,-1.483854638,-1.335257257,-1.073980053,-0.73464984,,,,,,
RNF224,3.027777778,0.1,0.033027523,-4.920187375,-1.481123997,-1.334863129,-1.067346877,-0.734367974,,,,,,
SYNGR4,15.12647059,0.5,0.033054637,-4.919003459,-1.480767603,-1.331999113,-1.061596071,-0.733453627,,,,,,
PROSER2,3.016129032,0.1,0.03315508,-4.914626201,-1.479449917,-1.330268791,-1.060046236,-0.73093921,,,,,,
CHRNA9,8.935294118,0.3,0.03357472,-4.89648077,-1.473987598,-1.328670783,-1.059778976,-0.728353782,,,,,,
ESPNL,2.975757576,0.1,0.033604888,-4.895185053,-1.473597548,-1.327899587,-1.059242916,-0.728278612,,,,,,
OSTN,2.964705882,0.1,0.033730159,-4.88981704,-1.471981615,-1.32696573,-1.051719857,-0.720487444,,,,,,
DTX1,17.73055556,0.6,0.033839887,-4.885131388,-1.470571093,-1.315543972,-1.051094028,-0.717194825,,,,,,
GDF15,29.49722222,1,0.033901497,-4.882507153,-1.46978112,-1.309984838,-1.050246799,-0.71695927,,,,,,
TMEM132E,10.77307692,0.366666667,0.034035464,-4.87681739,-1.46806833,-1.308012134,-1.049271875,-0.716877416,,,,,,
CELF5,11.73030303,0.4,0.034099716,-4.874096431,-1.46724924,-1.30547782,-1.042289062,-0.714888338,,,,,,
MAP3K8,2.920588235,0.1,0.034239678,-4.868187025,-1.465470332,-1.299356412,-1.041611971,-0.711082588,,,,,,
WIF1,2.913636364,0.1,0.034321373,-4.864748886,-1.464435349,-1.292646917,-1.035000664,-0.704722334,,,,,,
METTL11B,2.882758621,0.1,0.034688995,-4.849378096,-1.45980828,-1.291886616,-1.029121839,-0.704722334,,,,,,
ANKRD34C,2.87,0.1,0.034843206,-4.842978791,-1.457881897,-1.290034611,-1.018596489,-0.698366398,,,,,,
ANGPT2,2.864705882,0.1,0.034907598,-4.84031508,-1.45708004,-1.288820541,-1.01171138,-0.695578954,,,,,,
KCNJ3,27.92142857,0.975,0.034919417,-4.839826687,-1.456933019,-1.275167334,-1.010017121,-0.693629256,,,,,,
OIT3,2.855172414,0.1,0.035024155,-4.835505922,-1.455632339,-1.274927193,-1.007825338,-0.693329738,,,,,,
ZIM2,2.85,0.1,0.035087719,-4.832889974,-1.45484486,-1.274927193,-1.006843416,-0.688419823,,,,,,
SLIT3,2.847826087,0.1,0.035114504,-4.8317891,-1.454513464,-1.271351039,-1.006530867,-0.685741739,,,,,,
POU4F3,17.00285714,0.6,0.035288187,-4.824670844,-1.452370656,-1.267841936,-1.004268285,-0.685741739,,,,,,
UGT1A1,5.642857143,0.2,0.035443038,-4.818353881,-1.45046906,-1.266301399,-1.00295105,-0.683497318,,,,,,
PCSK6,2.805555556,0.1,0.035643564,-4.810214536,-1.448018873,-1.263805088,-0.997767119,-0.679367631,,,,,,
HS6ST2,11.18529412,0.4,0.035761241,-4.805459342,-1.446587417,-1.259275248,-0.993517873,-0.677116692,,,,,,
MAN1C1,11.05277778,0.4,0.036189997,-4.788265143,-1.441411447,-1.257723006,-0.992938146,-0.67253765,,,,,,
MEP1B,5.470588235,0.2,0.03655914,-4.773624026,-1.437004032,-1.25716411,-0.987765544,-0.672012291,,,,,,
MMP13,2.715,0.1,0.036832413,-4.762880254,-1.433769834,-1.255272505,-0.987517305,-0.664067132,,,,,,
CELF4,27.11666667,1,0.036877689,-4.761107901,-1.433236303,-1.248456291,-0.985956923,-0.66343168,,,,,,
STOX2,8.1,0.3,0.037037037,-4.754887463,-1.431363764,-1.246672334,-0.980760642,-0.662757832,,,,,,
IL32,2.696296296,0.1,0.037087912,-4.7529071,-1.430767615,-1.241484221,-0.980634522,-0.661611935,,,,,,
RBBP8NL,2.673684211,0.1,0.037401575,-4.740757135,-1.427110111,-1.240133058,-0.980571449,-0.661558965,,,,,,
ABCC9,2.666666667,0.1,0.0375,-4.736965556,-1.425968732,-1.239040539,-0.98014546,-0.661088536,,,,,,
EHF,26.34571429,1,0.037956838,-4.719496352,-1.420709978,-1.236753132,-0.977723606,-0.657713015,,,,,,
CD207,2.627586207,0.1,0.038057743,-4.715666155,-1.419556974,-1.236295162,-0.977723605,-0.65664569,,,,,,
FGFR1,26.11111111,1,0.038297872,-4.706591908,-1.416825353,-1.235528447,-0.976022284,-0.656185349,,,,,,
PREX1,25.87714286,1,0.038644143,-4.693606393,-1.412916323,-1.229734528,-0.974025289,-0.654105206,,,,,,
THEG,2.568965517,0.1,0.038926174,-4.683115584,-1.409758275,-1.228065126,-0.973127854,-0.652317983,,,,,,
DPP6,15.27368421,0.6,0.039283253,-4.669941753,-1.405792557,-1.227690357,-0.970036777,-0.651485695,,,,,,
SP100,2.544,0.1,0.039308176,-4.669026729,-1.405517107,-1.226170124,-0.967815317,-0.650253543,,,,,,
TKTL1,2.523076923,0.1,0.039634146,-4.657112251,-1.401930492,-1.224477565,-0.966831637,-0.649713376,,,,,,
PTPRO,15.040625,0.6,0.039891959,-4.647758171,-1.399114633,-1.222933131,-0.964399325,-0.636822098,,,,,,
CRB2,2.505882353,0.1,0.039906103,-4.647246743,-1.398960678,-1.218710518,-0.96365668,-0.636057831,,,,,,
ADAMTS15,5,0.2,0.04,-4.643856154,-1.397940009,-1.209192202,-0.96185237,-0.635300925,,,,,,
MYB,49.94166667,2,0.040046721,-4.642172027,-1.397433036,-1.208940171,-0.959994838,-0.630705174,,,,,,
ALB,4.968965517,0.2,0.040249827,-4.634873589,-1.395235987,-1.207301642,-0.957641142,-0.629118225,,,,,,
LAIR2,2.477777778,0.1,0.040358744,-4.630974863,-1.394062354,-1.205281716,-0.953803606,-0.626967343,,,,,,
ALX1,12.37241379,0.5,0.040412486,-4.629055049,-1.393484432,-1.203182993,-0.952047628,-0.625021285,,,,,,
PTGS2,2.439285714,0.1,0.040995608,-4.608386812,-1.387262673,-1.203120915,-0.949963712,-0.623857121,,,,,,
GK2,2.4125,0.1,0.041450777,-4.592457003,-1.382467322,-1.196130109,-0.948847478,-0.621868385,,,,,,
ANKRD29,2.411538462,0.1,0.041467305,-4.59188188,-1.382294193,-1.189722162,-0.947971,-0.619540519,,,,,,
EFS,48.16470588,2,0.041524182,-4.589904416,-1.381698917,-1.187207264,-0.947215812,-0.618338692,,,,,,
PGM5,3.593103448,0.15,0.041746641,-4.582196032,-1.379378462,-1.186936861,-0.946868912,-0.617854259,,,,,,
GPR50,2.38,0.1,0.042016807,-4.572889635,-1.376576957,-1.184442366,-0.946397675,-0.611535884,,,,,,
CA2,3.544,0.15,0.042325056,-4.562344164,-1.373402454,-1.181230899,-0.939367957,-0.610051481,,,,,,
WNT11,14.13714286,0.6,0.04244139,-4.558384233,-1.372210396,-1.180909621,-0.936090247,-0.608793375,,,,,,
LRRC14B,4.687878788,0.2,0.042663219,-4.550863329,-1.369946378,-1.178797153,-0.935059193,-0.608050355,,,,,,
SAMD3,2.3375,0.1,0.042780749,-4.546894427,-1.36875162,-1.176091259,-0.934498452,-0.607942174,,,,,,
TBX15,2.323529412,0.1,0.043037975,-4.538245969,-1.366148174,-1.172363387,-0.92982424,-0.606967326,,,,,,
MMD2,2.311538462,0.1,0.043261231,-4.53078143,-1.363901124,-1.171935299,-0.928219769,-0.602059992,,,,,,
C7orf33,2.3,0.1,0.043478261,-4.523561924,-1.361727836,-1.171238756,-0.926342447,-0.598164948,,,,,,
C1QTNF6,4.505555556,0.2,0.044389642,-4.493633071,-1.352718354,-1.170528399,-0.926342447,-0.592850605,,,,,,
CNNM1,9.009090909,0.4,0.044399596,-4.493309596,-1.352620978,-1.169952719,-0.922587777,-0.591594558,,,,,,
SLC16A12,2.248,0.1,0.044483986,-4.490570099,-1.351796307,-1.1692248,-0.920818754,-0.586480799,,,,,,
TLR4,2.242857143,0.1,0.044585987,-4.487265795,-1.350801613,-1.168792021,-0.917227403,-0.584205542,,,,,,
OR51E2,44.80833333,2,0.044634555,-4.485695128,-1.350328795,-1.165988567,-0.903089988,-0.583576586,,,,,,
KIF12,13.35925926,0.6,0.04491267,-4.476733673,-1.347631128,-1.165767036,-0.903089987,-0.579955424,,,,,,
MB,8.827272727,0.4,0.045314109,-4.463895835,-1.343766553,-1.165694159,-0.900063532,-0.579277399,,,,,,
DOCK8,2.204166667,0.1,0.04536862,-4.46216138,-1.343244431,-1.164352856,-0.899573414,-0.579110794,,,,,,
MCC,12.97222222,0.6,0.046252677,-4.434319301,-1.334863129,-1.163631137,-0.891630365,-0.578830151,,,,,,
SLC5A5,2.147826087,0.1,0.046558704,-4.424805245,-1.331999113,-1.161015491,-0.891139059,-0.577236408,,,,,,
GPR87,4.278571429,0.2,0.046744574,-4.41905724,-1.330268791,-1.158864857,-0.890234666,-0.574031269,,,,,,
STK32B,6.396551724,0.3,0.04690027,-4.414259945,-1.328824661,-1.158793126,-0.888366731,-0.574031268,,,,,,
PCDHGB7,5.328571429,0.25,0.04691689,-4.413748773,-1.328670783,-1.158697467,-0.888026241,-0.572324804,,,,,,
NR0B2,21.29090909,1,0.046968403,-4.412165616,-1.328194206,-1.156066558,-0.887850021,-0.571798387,,,,,,
TMEM176A,42.55294118,2,0.047000276,-4.411186916,-1.327899587,-1.154829572,-0.885464024,-0.56754914,,,,,,
PHF11,4.247222222,0.2,0.047089601,-4.40844766,-1.327074989,-1.15350999,-0.878266404,-0.566732029,,,,,,
RASGRF1,2.123076923,0.1,0.047101449,-4.408084709,-1.32696573,-1.152118399,-0.875382844,-0.565679194,,,,,,
GBP3,2.115151515,0.1,0.047277937,-4.402689077,-1.325341483,-1.149561212,-0.8733548,-0.564928954,,,,,,
RNF152,8.271875,0.4,0.04835663,-4.37014245,-1.315543972,-1.148763281,-0.871739683,-0.562642679,,,,,,
CDH11,4.122727273,0.2,0.048511577,-4.365527093,-1.314154611,-1.145243899,-0.868579136,-0.562172661,,,,,,
ITGA9,10.29411765,0.5,0.048571429,-4.363748241,-1.313619123,-1.141536867,-0.866156013,-0.560305243,,,,,,
ANKRD30B,4.083333333,0.2,0.048979592,-4.351675409,-1.309984838,-1.14133777,-0.865301427,-0.56016783,,,,,,
SCARA3,10.16206897,0.5,0.049202579,-4.345122226,-1.308012134,-1.140418248,-0.865301426,-0.559507641,,,,,,
KISS1R,8.082352941,0.4,0.049490539,-4.336703419,-1.30547782,-1.13980415,-0.861488457,-0.558154506,,,,,,
RHOD,6.03030303,0.3,0.049748744,-4.329196067,-1.303217882,-1.139564266,-0.861206692,-0.557473783,,,,,,
COLEC11,5.988235294,0.3,0.050098232,-4.319096476,-1.300177602,-1.137314542,-0.861169192,-0.555814804,,,,,,
CD163L1,3.984615385,0.2,0.05019305,-4.316368541,-1.299356412,-1.135238693,-0.86048925,-0.553883027,,,,,,
HECW1,1.975,0.1,0.050632911,-4.30378072,-1.2955671,-1.133248508,-0.857667471,-0.552938468,,,,,,
DACH2,9.841666667,0.5,0.050804403,-4.298902626,-1.294098647,-1.133006358,-0.856067786,-0.549671923,,,,,,
SRMS,1.961764706,0.1,0.050974513,-4.294080082,-1.292646917,-1.132126567,-0.854835993,-0.54950813,,,,,,
WDR86,3.9,0.2,0.051282051,-4.285402191,-1.290034611,-1.129643865,-0.849355864,-0.549031464,,,,,,
EPS8L1,3.9,0.2,0.051282051,-4.285402191,-1.290034611,-1.129271923,-0.847826601,-0.548477164,,,,,,
PCSK1,175.9823529,9.05,0.051425611,-4.281369136,-1.288820541,-1.128881929,-0.843284699,-0.546359842,,,,,,
PRKCG,5.72173913,0.3,0.052431611,-4.25341929,-1.280406799,-1.125760017,-0.840604192,-0.54631828,,,,,,
THRB,5.653125,0.3,0.053067993,-4.236014165,-1.275167334,-1.123956963,-0.835189752,-0.545944049,,,,,,
FHIT,1.883333333,0.1,0.053097345,-4.235216435,-1.274927193,-1.123579441,-0.834632606,-0.544068046,,,,,,
HOXD9,37.66666667,2,0.053097345,-4.235216435,-1.274927193,-1.123178838,-0.833454059,-0.541846585,,,,,,
MAML2,11.284375,0.6,0.053170867,-4.233220177,-1.27432626,-1.123082638,-0.828230115,-0.541044069,,,,,,
COL5A2,93.39444444,5,0.053536375,-4.223336707,-1.271351039,-1.122367597,-0.827839035,-0.539613704,,,,,,
NHS,9.305555556,0.5,0.053731343,-4.218092257,-1.269772302,-1.117113399,-0.827049494,-0.539076099,,,,,,
MEGF6,7.411428571,0.4,0.053970702,-4.211679721,-1.267841936,-1.117050224,-0.823908742,-0.53851788,,,,,,
ZNF729,3.7,0.2,0.054054054,-4.209453339,-1.267171729,-1.116345655,-0.822354914,-0.532895866,,,,,,
CDH4,11.07777778,0.6,0.054162487,-4.206562166,-1.266301399,-1.116164813,-0.82100375,-0.532424064,,,,,,
TMPRSS11E,1.835714286,0.1,0.054474708,-4.198269601,-1.263805088,-1.115333096,-0.820844322,-0.53227652,,,,,,
NEUROD1,155.0903226,8.5,0.054806772,-4.189501989,-1.261165774,-1.115134833,-0.8115031,-0.528273777,,,,,,
GALM,5.466666667,0.3,0.054878049,-4.187626977,-1.260601339,-1.112929829,-0.809100387,-0.525247323,,,,,,
FSTL5,5.45,0.3,0.055045872,-4.183221798,-1.259275248,-1.108540863,-0.80775586,-0.52124708,,,,,,
NKAIN4,2.716,0.15,0.055228277,-4.178449048,-1.257838507,-1.108178297,-0.806085716,-0.521065405,,,,,,
GRIK1,5.430555556,0.3,0.055242967,-4.178065364,-1.257723006,-1.108070811,-0.801632347,-0.517599058,,,,,,
DDR2,14.46285714,0.8,0.055314105,-4.176208749,-1.25716411,-1.104674521,-0.800959543,-0.51741585,,,,,,
KRT5,17.77058824,1,0.056272757,-4.151419507,-1.249701804,-1.103655016,-0.799610801,-0.516915798,,,,,,
SLC35F1,7.087878788,0.4,0.056434374,-4.147282002,-1.248456291,-1.101390615,-0.794594488,-0.515966751,,,,,,
XAF1,1.771428571,0.1,0.056451613,-4.146841364,-1.248323645,-1.100370545,-0.791515212,-0.51169242,,,,,,
SYNPO,5.294444444,0.3,0.056663169,-4.141444877,-1.246699141,-1.098297537,-0.78984921,-0.507935202,,,,,,
SLC30A8,1.764705882,0.1,0.056666667,-4.141355825,-1.246672334,-1.091447118,-0.787040435,-0.507514345,,,,,,
RNF157,34.93611111,2,0.057247356,-4.126647094,-1.242244564,-1.090297251,-0.785329836,-0.505930626,,,,,,
GUCY2D,1.74375,0.1,0.05734767,-4.124121287,-1.241484221,-1.089004157,-0.785329835,-0.504104745,,,,,,
RGS7,14.73870968,0.85,0.057671263,-4.116003551,-1.239040539,-1.086359831,-0.782950134,-0.501363603,,,,,,
SYT16,1.728125,0.1,0.057866184,-4.111135646,-1.237575153,-1.082186757,-0.781983765,-0.500602351,,,,,,
EPDR1,34.49714286,2,0.057975816,-4.108404949,-1.236753132,-1.078023597,-0.780407331,-0.499966953,,,,,,
SLC2A12,10.33823529,0.6,0.058036984,-4.106883607,-1.236295162,-1.076913385,-0.777046877,-0.499929547,,,,,,
PPBP,1.72,0.1,0.058139535,-4.104336636,-1.235528447,-1.076154792,-0.775310696,-0.498374378,,,,,,
ADAMTSL3,1.7,0.1,0.058823529,-4.087462818,-1.230448922,-1.075817213,-0.772025698,-0.492915522,,,,,,
EMP2,33.94411765,2,0.058920371,-4.085089654,-1.229734528,-1.075141269,-0.768038758,-0.49248101,,,,,,
PLK2,33.81388889,2,0.059147293,-4.079544019,-1.228065126,-1.074816441,-0.765916794,-0.485090185,,,,,,
CASZ1,13.51388889,0.8,0.059198356,-4.078299064,-1.227690357,-1.073980053,-0.764881527,-0.485090184,,,,,,
FTCDNL1,1.683333333,0.1,0.059405941,-4.073248959,-1.226170124,-1.071916084,-0.762282509,-0.483370205,,,,,,
MLPH,6.707142857,0.4,0.059637913,-4.067626402,-1.224477565,-1.071745673,-0.760998677,-0.483111618,,,,,,
UNC5C,1.670833333,0.1,0.059850374,-4.062495902,-1.222933131,-1.068623853,-0.758722699,-0.481123997,,,,,,
S100B,1.660869565,0.1,0.060209424,-4.053866849,-1.220335527,-1.067346877,-0.757829673,-0.480865196,,,,,,
MAOB,9.928,0.6,0.060435133,-4.048468686,-1.218710518,-1.066592119,-0.754348336,-0.47897854,,,,,,
CNTN6,1.647368421,0.1,0.060702875,-4.042091311,-1.216790737,-1.063286436,-0.753740726,-0.478459606,,,,,,
LAMA4,6.569444444,0.4,0.060887949,-4.037699443,-1.215468653,-1.060046236,-0.75190608,-0.477389255,,,,,,
SEMA3F,16.34722222,1,0.061172472,-4.03097358,-1.213443966,-1.059778976,-0.751358074,-0.475048246,,,,,,
SLITRK1,6.471428571,0.4,0.061810155,-4.016012295,-1.208940171,-1.05891703,-0.750122527,-0.474588918,,,,,,
TRPC3,1.613636364,0.1,0.061971831,-4.012243573,-1.207805673,-1.058805487,-0.748795857,-0.472412249,,,,,,
SP140L,6.447058824,0.4,0.062043796,-4.010569219,-1.207301642,-1.057827411,-0.747274684,-0.469464046,,,,,,
DPP4,3.208571429,0.2,0.062333036,-4.003859173,-1.205281716,-1.057644976,-0.746893557,-0.469412883,,,,,,
ALDH1A2,3.193103448,0.2,0.062634989,-3.996887366,-1.203182993,-1.0545705,-0.744184287,-0.469064817,,,,,,
MYBPC2,1.592307692,0.1,0.062801932,-3.993047217,-1.202026993,-1.051719857,-0.7436404,-0.469003365,,,,,,
EPB41L4A,3.141666667,0.2,0.063660477,-3.97345819,-1.196130109,-1.050246799,-0.743389144,-0.468769182,,,,,,
TMEFF1,3.077777778,0.2,0.064981949,-3.943817143,-1.187207264,-1.049271875,-0.736965324,-0.46834733,,,,,,
TRPM3,1.537931034,0.1,0.065022421,-3.942918884,-1.186936861,-1.045881557,-0.734844261,-0.466981624,,,,,,
FBXO27,10.61714286,0.7,0.065931109,-3.922896826,-1.180909621,-1.044897596,-0.734367974,-0.466949959,,,,,,
CERS1,3.014705882,0.2,0.066341463,-3.913945332,-1.178214953,-1.042289062,-0.733453627,-0.466435087,,,,,,
WT1,1.5,0.1,0.066666667,-3.906890575,-1.176091259,-1.041611971,-0.732393761,-0.463110542,,,,,,
LDLRAD4,2.982857143,0.2,0.067049808,-3.898622959,-1.173602459,-1.038374119,-0.73093921,-0.462397998,,,,,,
CNTN3,4.461538462,0.3,0.067241379,-3.89450685,-1.172363387,-1.03809005,-0.728353782,-0.460313047,,,,,,
FRK,4.457142857,0.3,0.067307692,-3.893084775,-1.171935299,-1.035000664,-0.728278612,-0.456156533,,,,,,
TNFSF8,5.933333333,0.4,0.06741573,-3.890770909,-1.171238756,-1.027058233,-0.726998728,-0.453573133,,,,,,
CARD6,2.468181818,0.166666667,0.06752609,-3.888411154,-1.170528399,-1.022279411,-0.725911633,-0.453457337,,,,,,
DUSP13,1.478947368,0.1,0.067615658,-3.886498786,-1.169952719,-1.018596489,-0.720487444,-0.451567151,,,,,,
PLA2R1,1.476470588,0.1,0.067729084,-3.884080692,-1.1692248,-1.012837225,-0.717194825,-0.449896037,,,,,,
PCDHA4,1.475,0.1,0.06779661,-3.882643029,-1.168792021,-1.012433995,-0.71695927,-0.448581949,,,,,,
FOLR1,4.409090909,0.3,0.068041237,-3.877446797,-1.167227799,-1.01171138,-0.716877416,-0.44445214,,,,,,
PTGFR,5.863157895,0.4,0.068222621,-3.873605983,-1.166071599,-1.011311942,-0.714888338,-0.444348453,,,,,,
FN1,87.93055556,6,0.068235666,-3.873330157,-1.165988567,-1.010100327,-0.708515322,-0.443697501,,,,,,
COL4A5,13.18285714,0.9,0.068270481,-3.872594249,-1.165767036,-1.010017121,-0.707945701,-0.442528762,,,,,,
GPR4,1.46,0.1,0.068493151,-3.867896444,-1.164352856,-1.007825338,-0.707913592,-0.442205931,,,,,,
LIPH,1.457575758,0.1,0.068607069,-3.865498944,-1.163631137,-1.006843416,-0.704960368,-0.436692599,,,,,,
IRS4,2.89047619,0.2,0.069192751,-3.853235263,-1.159939401,-1.006530867,-0.704722334,-0.433655561,,,,,,
PCDHB10,5.765714286,0.4,0.069375619,-3.849427422,-1.158793126,-0.997767119,-0.704722334,-0.432151529,,,,,,
THBS1,14.41111111,1,0.069390902,-3.849109647,-1.158697467,-0.99657421,-0.698366398,-0.431108372,,,,,,
TIGD3,14.38055556,1,0.069538343,-3.846047486,-1.157775664,-0.992938146,-0.698193785,-0.426257396,,,,,,
RUNX2,4.3,0.3,0.069767442,-3.841302234,-1.156347201,-0.991605759,-0.695578954,-0.424574527,,,,,,
SUSD2,8.594444444,0.6,0.06981254,-3.840369959,-1.156066558,-0.987517305,-0.695481677,-0.422280775,,,,,,
PKHD1,1.43,0.1,0.06993007,-3.837943222,-1.155336038,-0.985956923,-0.693329738,-0.421005313,,,,,,
DECR1,28.56666667,2,0.070011669,-3.836260778,-1.154829572,-0.980760642,-0.691228885,-0.419880682,,,,,,
ACSM4,2.852631579,0.2,0.070110701,-3.834221508,-1.15421569,-0.980571449,-0.69019608,-0.417834838,,,,,,
PTH1R,1.424,0.1,0.070224719,-3.831877222,-1.15350999,-0.98014546,-0.689210167,-0.416825353,,,,,,
CCDC144A,1.411111111,0.1,0.070866142,-3.818759666,-1.149561212,-0.977723605,-0.688419823,-0.416049667,,,,,,
DNTT,1.410526316,0.1,0.070895522,-3.818161658,-1.149381193,-0.97510342,-0.685741739,-0.413917794,,,,,,
MUC2,1.4,0.1,0.071428571,-3.807354903,-1.146128036,-0.974445896,-0.685741739,-0.410496046,,,,,,
DUSP26,55.88611111,4,0.071574134,-3.804417862,-1.145243899,-0.974025289,-0.683497318,-0.410464791,,,,,,
SPARCL1,13.85277778,1,0.072187688,-3.792103371,-1.141536867,-0.973127854,-0.679367631,-0.408040336,,,,,,
BACE2,11.07714286,0.8,0.072220789,-3.791441983,-1.14133777,-0.970036777,-0.677116692,-0.407337783,,,,,,
REPS2,6.908571429,0.5,0.072373863,-3.788387398,-1.140418248,-0.967815317,-0.673216453,-0.405513946,,,,,,
JUP,96.58333333,7,0.072476273,-3.786347408,-1.13980415,-0.966793338,-0.67253765,-0.403120521,,,,,,
RORB,13.79,1,0.072516316,-3.785550532,-1.139564266,-0.964399325,-0.672012291,-0.402487638,,,,,,
PCDHGA3,1.371875,0.1,0.072892938,-3.778077111,-1.137314542,-0.963787828,-0.665801641,-0.401783348,,,,,,
PANX2,27.32777778,2,0.073185607,-3.772296224,-1.135574322,-0.96365668,-0.665111737,-0.401544134,,,,,,
PLXNA4,2.048,0.15,0.073242187,-3.771181291,-1.135238693,-0.962124658,-0.6642658,-0.39794001,,,,,,
CXCL6,1.359090909,0.1,0.073578595,-3.764570037,-1.133248508,-0.96185237,-0.664179174,-0.394305725,,,,,,
ZCCHC24,6.791666667,0.5,0.073619632,-3.763765634,-1.133006358,-0.959994838,-0.664067132,-0.393784051,,,,,,
DRD1,1.356521739,0.1,0.073717949,-3.761840244,-1.132426758,-0.957641142,-0.66343168,-0.392354931,,,,,,
FAM114A1,14.91142857,1.1,0.073768921,-3.760843032,-1.132126567,-0.95424251,-0.662757832,-0.391457881,,,,,,
FAT2,5.391428571,0.4,0.074191839,-3.752595671,-1.129643865,-0.95424251,-0.661611935,-0.390832752,,,,,,
FBXO43,13.40277778,1,0.074611399,-3.744460111,-1.127194817,-0.953803606,-0.661558965,-0.390430408,,,,,,
TMEM63C,26.71714286,2,0.074858304,-3.739693809,-1.125760017,-0.952777771,-0.661088536,-0.390313495,,,,,,
HOXA11,6.651612903,0.5,0.075169738,-3.733704193,-1.123956963,-0.952227219,-0.657713015,-0.390067876,,,,,,
ANPEP,2.655882353,0.2,0.07530454,-3.731119318,-1.123178838,-0.952047628,-0.65664569,-0.388509058,,,,,,
SMAD6,7.952777778,0.6,0.075445337,-3.728424434,-1.122367597,-0.950202532,-0.656185349,-0.388288623,,,,,,
CACNA1F,3.951724138,0.3,0.07591623,-3.719447814,-1.119665365,-0.949963712,-0.654105206,-0.387562837,,,,,,
PREX2,6.133333333,0.466666667,0.076086957,-3.716207015,-1.118689787,-0.948847478,-0.650253543,-0.381549593,,,,,,
TMEM200B,3.928571429,0.3,0.076363636,-3.710970367,-1.117113399,-0.947971,-0.649713376,-0.381323392,,,,,,
CNGA4,6.546666667,0.5,0.076374745,-3.710760505,-1.117050224,-0.947787593,-0.647662349,-0.37887864,,,,,,
RTN4RL2,13.04166667,1,0.076677316,-3.705056328,-1.115333096,-0.947215812,-0.647662349,-0.37464653,,,,,,
MST1R,6.484848485,0.5,0.077102804,-3.697072849,-1.112929829,-0.946868912,-0.645941477,-0.374190747,,,,,,
ARAP3,3.882857143,0.3,0.077262693,-3.694084205,-1.112030158,-0.946754489,-0.638827118,-0.37256865,,,,,,
COL27A1,12.88484848,1,0.077610536,-3.687603649,-1.110079316,-0.946397675,-0.637429078,-0.371837206,,,,,,
CLEC18B,5.135714286,0.4,0.077885953,-3.68249302,-1.108540863,-0.943623534,-0.636822098,-0.370656988,,,,,,
GBP2,2.565714286,0.2,0.077951002,-3.6812886,-1.108178297,-0.942817814,-0.636057831,-0.369852791,,,,,,
LRRC34,8.977777778,0.7,0.077970297,-3.680931541,-1.108070811,-0.941607597,-0.635300925,-0.367976785,,,,,,
LIPG,3.817647059,0.3,0.078582434,-3.669649308,-1.104674521,-0.936090247,-0.633094226,-0.362775592,,,,,,
GALR1,1.269565217,0.1,0.078767123,-3.666262586,-1.103655016,-0.935059193,-0.630705174,-0.361924483,,,,,,
